TDM_X         TDM_Y         TDM_Z         Oscillator Strength
0.16756725    -0.03848516   -0.21254997   0.00540000    
0.00249716    -0.06928277   -0.32555838   0.00680000    
0.07759809    -0.01117336   -0.50669611   0.01840000    
0.12857478    0.04815384    0.42533481    0.01070000    
-0.10076284   0.02020757    -0.63913644   0.02650000    
0.19589559    -0.00878429   -0.23911040   0.00620000    
-0.12306362   0.13191998    0.32526052    0.00830000    
-0.39384010   0.18626905    0.43412803    0.02550000    
-0.13067166   -0.02362282   -0.36693506   0.01060000    
0.27376490    0.06572838    0.41756889    0.01450000    
-0.18153346   -0.04483206   -0.33097078   0.00790000    
0.14721158    -0.11811744   -0.37793723   0.01030000    
0.09781206    -0.10304735   -0.48564899   0.01890000    
0.26993723    -0.14382067   -0.48435948   0.02080000    
0.19281593    0.27655835    0.55693338    0.02940000    
0.30490731    0.04661908    0.43330044    0.01770000    
0.01002903    -0.02770014   0.24469829    0.00310000    
0.26203854    0.04575928    0.09427695    0.00520000    
-0.22929689   -0.14271296   -0.30528575   0.00990000    
-0.21811980   0.10400352    0.35568930    0.01120000    
-0.02478076   0.13439980    0.43340620    0.01340000    
0.13678745    -0.01171731   -0.47124324   0.01640000    
0.70134737    0.27192116    0.55187594    0.05480000    
-0.26721439   -0.06628808   -0.39595290   0.01340000    
0.30632787    -0.00968482   -0.32203032   0.01150000    
-0.26194379   -0.04122015   -0.20548995   0.00560000    
-0.01012556   -0.13637972   -0.38644629   0.01260000    
0.07303955    -0.03368417   -0.25350949   0.00450000    
0.28498122    -0.08744534   -0.54687433   0.02700000    
-0.64554018   -0.14271037   -0.21026404   0.02940000    
0.03270707    -0.25534045   -0.57525747   0.02160000    
-0.41519531   0.03513746    -0.26116244   0.01560000    
0.34354687    0.07229568    0.38604774    0.01800000    
-0.09092267   -0.08547459   0.48270465    0.01650000    
-0.02998947   0.02121349    -0.20218489   0.00270000    
0.38151208    0.03560327    -0.53531420   0.03200000    
-0.12732194   -0.00695413   0.10363351    0.00150000    
0.14108631    -0.03424563   0.16992616    0.00250000    
0.08283662    0.01335518    0.82348182    0.03990000    
-0.26293300   0.06539150    0.37576308    0.01490000    
0.10066619    0.18265079    0.60939647    0.02310000    
-0.01685684   0.12516822    0.34821939    0.00910000    
-0.11958361   -0.08632376   -0.36230593   0.00970000    
-0.14165978   -0.10062888   -0.54748640   0.01890000    
0.33792095    -0.16847199   -0.45973895   0.02260000    
0.17116870    -0.02111554   -0.33154296   0.00780000    
-0.11249898   -0.00336527   0.23056581    0.00300000    
-0.09461242   0.00140128    0.21272484    0.00330000    
-0.08136741   0.19174737    0.67209548    0.02920000    
-0.10980992   -0.11821289   0.32738356    0.00830000    
-0.12597870   0.08598318    0.23515425    0.00500000    
0.18640479    -0.12202091   -0.31768718   0.00970000    
-0.30898170   0.11607555    0.32262992    0.01230000    
0.23127794    0.11309188    0.28373816    0.00830000    
0.34332813    -0.00630338   0.43600959    0.01980000    
-0.37041798   -0.08460681   -0.28833345   0.01310000    
0.37982629    -0.00127447   0.36236331    0.01750000    
0.00804177    -0.02610499   0.17104376    0.00190000    
0.54352908    0.11004834    0.39134849    0.02810000    
-0.21965081   0.03693411    0.32721579    0.01050000    
