mol,sn,Mult,eV,nm,f,orb,tdmx,tdmy,tdmz,dips,tvdmx,tvdmy,tvdmz,dipsv,tmdmx,tmdmy,tmdmz,rotxx,rotyy,rotzz,R,EMangle,rotlxx,rotlyy,rotlzz,Rl
hod0321,1,Singlet,2.3355,530.87,0.0299,H-L:0.895;H-L1:0.031,0.5125,0.5066,-0.0501,0.5219,-0.0430,-0.0413,0.0018,0.0036,-0.1036,0.0393,-0.3622,3.9173,16.9511,-2.9989,5.9565,84.49,37.5668,-14.0777,-12.8224,3.5556
hod0322,1,Singlet,2.3353,530.9,0.0079,H-L:0.907;H2-L:0.036,-0.1228,0.3492,0.0154,0.1373,0.0114,-0.0299,0.0013,0.0010,0.0785,-0.0793,0.1568,13.3351,3.7396,11.4331,9.5026,55.80,6.8115,19.5899,-1.7068,8.2316
hod0323,1,Singlet,2.4452,507.05,0.0191,H1-L:0.457;H-L:0.406,-0.1467,0.5174,-0.1719,0.3188,0.0124,-0.0470,0.0125,0.0025,-0.2056,-0.2636,-0.0617,41.2351,-17.0114,47.1749,23.7995,57.89,-21.3353,96.4380,-7.4955,22.5357
hod0324,1,Singlet,3.1623,392.07,0.0304,H-L:0.546;H-L1:0.208,-0.0558,-0.6120,0.1195,0.3920,0.0076,0.0719,-0.0106,0.0053,0.2913,0.0872,-0.0676,19.1492,2.0278,34.7157,18.6309,66.18,11.4906,37.7487,5.7147,18.3180
hod0325,1,Singlet,2.5498,486.25,0.0193,H1-L:0.82;H2-L:0.079,0.4225,0.3592,-0.0401,0.3091,-0.0404,-0.0326,0.0009,0.0027,-0.1529,0.0991,-0.3180,-7.1219,24.1851,3.0113,6.6915,81.97,45.6920,-25.1620,-9.0266,3.8345
hod0326,1,Singlet,2.5598,484.36,0.0152,H1-L:0.608;H-L:0.18,-0.4413,0.1964,-0.0958,0.2425,0.0398,-0.0196,0.0069,0.0020,-0.1364,-0.2203,0.2616,13.8759,-17.0454,8.3720,1.7342,87.60,-42.5589,30.5934,17.7231,1.9192
hod0327,1,Singlet,2.9036,426.99,0.0136,H-L:0.828;H-L1:0.085,0.0939,-0.4200,-0.0795,0.1915,-0.0116,0.0459,0.0043,0.0023,-0.2061,0.1419,-0.0609,26.3831,3.3994,27.4441,19.0755,45.17,13.6802,42.1345,-3.4254,17.4631
hod0328,1,Singlet,2.95,420.29,0.031,H1-L:0.556;H-L:0.23,-0.2264,-0.6098,0.0788,0.4293,0.0256,0.0661,-0.0056,0.0051,-0.1603,0.4714,0.0779,92.8071,-13.1643,94.1278,57.9235,41.99,-25.6631,203.2856,-4.3395,57.7610
hod0329,1,Singlet,2.8053,441.96,0.0324,H-L:0.84;H1-L:0.056,0.0367,0.6727,0.1310,0.4711,-0.0037,-0.0687,-0.0115,0.0049,-0.1927,-0.1672,0.3188,32.9929,-12.5958,38.1799,19.5257,72.55,5.0050,79.5646,-29.5422,18.3424
hod0330,1,Singlet,2.5482,486.56,0.0144,H-L:0.886;H-L1:0.028,0.0677,0.4673,0.0863,0.2304,-0.0075,-0.0436,-0.0064,0.0020,-0.1386,-0.1345,0.2777,21.0778,-5.3415,22.9373,12.8912,70.20,6.6364,44.4354,-16.9431,11.3762
