mol,sn,Mult,eV,nm,f,orb,tdmx,tdmy,tdmz,dips,tvdmx,tvdmy,tvdmz,dipsv,tmdmx,tmdmy,tmdmz,rotxx,rotyy,rotzz,R,EMangle,rotlxx,rotlyy,rotlzz,Rl
hod0390,1,Singlet,2.7819,445.69,0.033,H-L:0.459;H3-L:0.31,-0.5574,-0.3729,0.1850,0.4839,0.0554,0.0390,-0.0166,0.0049,-0.1187,0.4081,-0.5301,56.6715,9.7614,59.0576,41.8302,67.50,-46.7910,107.6261,69.3686,43.4012
hod0391,1,Singlet,2.7746,446.85,0.0142,H1-L:0.817;H2-L:0.055,0.3268,-0.3010,-0.1062,0.2086,-0.0318,0.0315,0.0081,0.0021,0.1432,0.2050,-0.0202,15.5210,-19.5580,16.0803,4.0145,81.25,-33.0813,43.6356,-1.5151,3.0131
hod0392,1,Singlet,2.621,473.05,0.0454,H-L:0.773;H1-L:0.1,-0.7384,-0.4021,0.0198,0.7072,0.0697,0.0388,0.0002,0.0064,-0.1105,0.5974,-0.4072,65.8644,-19.2087,66.4535,37.7031,74.69,-57.6849,169.8518,5.6934,39.2868
hod0393,1,Singlet,2.3494,527.73,0.0206,H-L:0.872;H1-L:0.072,0.2620,0.5366,0.0210,0.3571,-0.0218,-0.0459,-0.0037,0.0026,-0.0321,0.0313,-0.4328,14.5954,8.1753,-15.5544,2.4055,87.72,5.9476,-11.8822,6.4385,0.1680
hod0394,1,Singlet,2.6176,473.66,0.0142,H-L:0.547;H1-L:0.257,-0.0196,0.4685,-0.0377,0.2213,0.0024,-0.0437,-0.0001,0.0019,0.0962,-0.0903,-0.2380,25.2677,0.7892,4.7616,10.2729,69.41,1.3331,29.9139,-6.3465,8.3002
hod0395,1,Singlet,2.5085,494.25,0.0097,H-L:0.874;H1-L:0.07,-0.3147,0.1974,-0.1397,0.1575,0.0282,-0.0164,0.0136,0.0012,0.1841,-0.3626,-0.0703,20.3292,20.1842,37.5599,26.0245,45.77,40.9738,50.6095,-6.9448,28.2128
hod0396,1,Singlet,2.1028,589.61,0.0129,H-L:0.795;H2-L:0.125,-0.0483,0.4858,-0.1130,0.2511,0.0026,-0.0371,0.0066,0.0014,-0.1756,-0.3789,-0.1242,59.0350,-10.1620,67.9185,38.9305,39.09,-6.0018,130.1733,-9.9211,38.0834
hod0397,1,Singlet,2.747,451.35,0.0171,H-L:0.48;H3-L:0.238,-0.5009,-0.0582,0.0184,0.2546,0.0495,0.0061,-0.0014,0.0025,-0.0646,0.1570,0.6130,-0.0086,1.4949,-23.1046,-7.2061,95.58,-22.8654,6.4605,-7.9809,-8.1286
hod0398,1,Singlet,2.7437,451.88,0.0222,H-L:0.727;H2-L:0.204,0.3928,0.4062,-0.1027,0.3298,-0.0386,-0.0390,0.0079,0.0031,-0.1594,0.1054,-0.4208,-7.1413,9.8160,-11.7626,-3.0293,92.90,44.2788,-30.2715,-30.5479,-5.5135
hod0399,1,Singlet,2.3762,521.78,0.0054,H-L:0.809;H1-L:0.055,0.2029,0.2192,0.0614,0.0930,-0.0178,-0.0186,-0.0088,0.0007,-0.1317,-0.0141,-0.1047,4.6736,13.6642,10.2052,9.5143,39.83,18.8953,2.1778,4.5448,8.5393
hod0400,1,Singlet,2.215,559.75,0.0183,H-L:0.931,0.0988,-0.5669,0.0765,0.3370,-0.0071,0.0459,-0.0083,0.0022,-0.0145,0.2827,-0.0396,46.6133,3.1947,66.6839,38.8306,6.15,1.0151,113.3396,2.1411,38.8319
hod0401,1,Singlet,2.6502,467.82,0.0083,H-L:0.852;H-L1:0.032,-0.3432,0.0880,-0.0424,0.1273,0.0341,-0.0087,0.0005,0.0012,0.0198,0.1438,-0.1632,-3.8763,4.1827,-5.1086,-1.6007,94.93,4.7974,-8.9453,-4.8943,-3.0141
